i,Title,book_type,discipline,topic,confidence
0,Classification décimale universelle : édition abrégée /,reference,library_information_science,not_applicable,high
1,Les interactions dans l'enseignement des langues : agir professoral et pratiques de classe /,academic,linguistics,not_applicable,high
2,Histoire de vie et recherche biographique : perspectives sociohistoriques /,academic,sociology,not_applicable,high
3,"Ce livre devrait me permettre de résoudre le conflit au Proche-Orient, d'avoir mon diplôme, et de trouver une femme /",comics,not_applicable,biography_memoir,high
4,Les années glorieuses : roman /,fiction,not_applicable,not_applicable,high
5,100 idées pour mieux gérer les troubles de l'attention /,practical,not_applicable,parenting_family,high
6,La boîte à outils des formateurs : 71 outils clés en main + 10 compléments en ligne + 1 podcast /,practical,not_applicable,education_learning,high
7,L'autorité éducative dans la classe : douze situations pour apprendre à l'exercer /,practical,not_applicable,education_learning,high
8,Un autre regard sur le climat /,comics,not_applicable,nature_animals,high
9,Le mirage de la croissance verte /,comics,not_applicable,current_affairs_politics,high
10,Vieille fille : une proposition /,non_fiction_general,not_applicable,personal_development,high
11,Rendre les élèves acteurs de leurs apprentissages /,academic,education_sciences,not_applicable,high
12,L'apprentissage par projets au secondaire : guide pratique pour planifier et réaliser des projets avec ses élèves /,practical,not_applicable,education_learning,high
13,Pour une pédagogie du projet /,academic,education_sciences,not_applicable,high
14,Une classe qui coopère : pourquoi ? comment ? /,practical,not_applicable,education_learning,high
15,Penser le projet : concepts et outils d'une pédagogie émancipatrice /,academic,education_sciences,not_applicable,high
16,Pays-Bas /,practical,not_applicable,travel,high
17,Amsterdam : balades urbaines /,practical,not_applicable,travel,high
18,"Amsterdam : + Rotterdam, Delft et La Haye : 2024-2025 /",practical,not_applicable,travel,high
19,Pays-Bas,practical,not_applicable,travel,high
20,Amsterdam /,practical,not_applicable,travel,high
21,Histoire des Etats-Unis /,academic,history,not_applicable,high
22,"C'est psy ? Non, hormonal ! : comprendre ses hormones pour se sentir mieux /",practical,not_applicable,health_wellness,high
23,C'est mon corps : toutes les questions que se posent les femmes sur leur santé /,practical,not_applicable,health_wellness,high
24,Le sentiment de justice dans les relations sociales /,academic,sociology,not_applicable,high
25,S'capade pédagogique avec les jeux d'évasion : apprendre grâce aux escape games : de la maternelle à la formation d'adultes /,practical,not_applicable,education_learning,high
26,"Pays basque : France, Espagne et Navarre",practical,not_applicable,travel,high
27,Le rapport de Brodeck /,comics,not_applicable,not_applicable,high
28,Hanbok /,comics,not_applicable,biography_memoir,high
29,Philosophia : une histoire de la philosophie en BD /,comics,not_applicable,history_civilization,high
30,Chaussettes : 20 modèles à tricoter toute l'année /,practical,not_applicable,crafts_hobbies,high
31,Tricoter ses chaussettes : les techniques pour débuter : [+ de 20 modèles pour se lancer] /,practical,not_applicable,crafts_hobbies,high
32,Le métier de sociologue : préalables épistémologiques /,academic,sociology,not_applicable,high
33,Le dahlia noir /,comics,not_applicable,not_applicable,high
34,Le bleu est une couleur chaude /,comics,not_applicable,biography_memoir,high
35,"Dictionnaire de la pensée politique : idées, doctrines et philosophes /",reference,political_science,not_applicable,high
36,Roger et ses humains /,comics,not_applicable,not_applicable,high
37,"Simenon, l'Ostrogoth /",comics,not_applicable,biography_memoir,high
38,Géostratégix /,comics,not_applicable,current_affairs_politics,high
39,Partir : sur les chemins de Compostelle /,non_fiction_general,not_applicable,travel,high
40,Peau d'homme /,comics,not_applicable,history_civilization,high
41,Morgane /,comics,not_applicable,not_applicable,medium
42,Le monde de Sophie /,comics,not_applicable,not_applicable,high
43,Suisse,practical,not_applicable,travel,high
44,Tokyo tarareba girls /,comics,not_applicable,not_applicable,high
45,Yotsuba & ! /,comics,not_applicable,not_applicable,high
46,Le monde sans fin /,comics,not_applicable,nature_animals,high
47,La Fille à la moto /,comics,not_applicable,biography_memoir,medium
48,Seuls en exil /,comics,not_applicable,current_affairs_politics,high
49,Coming in /,comics,not_applicable,personal_development,high
50,Les héros de l'étoffe : la fabuleuse histoire du textile /,comics,not_applicable,history_civilization,high
51,Le bébé des Buttes-Chaumont /,comics,not_applicable,biography_memoir,high
52,Ascension /,comics,not_applicable,not_applicable,high
53,Fullmetal alchemist /,comics,not_applicable,not_applicable,high
54,Pil /,comics,not_applicable,not_applicable,medium
55,Goán tau chez moi /,comics,not_applicable,not_applicable,medium
56,Soixante printemps en hiver /,comics,not_applicable,relationships,high
57,Python pour les SHS : introduction à la programmation pour le traitement de données /,academic,computer_science,not_applicable,high
58,A silent voice /,comics,not_applicable,personal_development,high
59,L'appel de Néron /,comics,not_applicable,not_applicable,high
60,"Connaissez-vous vraiment Internet ? : protocoles, sécurité, censure, gouvernance... /",popular_science,computer_science,not_applicable,high
61,Hoodoo darlin' /,comics,not_applicable,not_applicable,medium
62,Les médias en Suisse /,academic,communication_media_studies,not_applicable,high
63,Bonjour Bonsoir /,comics,not_applicable,not_applicable,high
64,Journal inquiet d'Istanbul /,comics,not_applicable,travel,high
65,Le design des bibliothèques publiques  /,reference,library_information_science,not_applicable,high
66,Contrition /,comics,not_applicable,true_crime,high
67,Les contraceptés : enquête sur le dernier tabou /,comics,not_applicable,health_wellness,high
68,Formose /,comics,not_applicable,not_applicable,medium
69,Les mers du Sud /,comics,not_applicable,not_applicable,high
70,Fudafudak : l'endroit qui scintille /,comics,not_applicable,not_applicable,high
71,Les sentiments du Prince Charles /,comics,not_applicable,relationships,high
72,Le savoir-vivre professionnel : conseils pratiques et usages en Suisse /,practical,not_applicable,career_business,high
73,Le droit du travail en Suisse : 90 questions-réponses issues de la pratique /,practical,not_applicable,career_business,high
74,Turing à la plage : l'intelligence artificielle dans un transat /,popular_science,computer_science,not_applicable,high
75,GTO : great teacher onizuka /,comics,not_applicable,education_learning,high
76,Silver spoon = La cuillère d'argent /,comics,not_applicable,not_applicable,high
77,Ici /,comics,not_applicable,not_applicable,high
78,Fullmetal alchemist /,comics,not_applicable,not_applicable,high
79,La vierge de fer /,comics,not_applicable,not_applicable,high
80,Erased /,comics,not_applicable,not_applicable,high
81,Kokkoku /,comics,not_applicable,not_applicable,high
82,Voleuse /,comics,not_applicable,not_applicable,medium
83,L'ora del caffè : manuale di conversazione per generazioni incompatibili /,non_fiction_general,not_applicable,relationships,medium
84,Tombée d'une autre planète : d'après les aventures indécentes de Patricia Highsmith /,comics,not_applicable,biography_memoir,high
85,Monsieur Remarquable /,fiction,not_applicable,not_applicable,high
86,Kimchi baguette : journal de bord d'une Coréenne en France ! /,comics,not_applicable,biography_memoir,high
87,Océan express /,comics,not_applicable,not_applicable,high
88,Le petit robot de bois et la princesse bûche /,children,not_applicable,not_applicable,high
89,La mort n'est que le début... de l'enquête du médecin légiste /,non_fiction_general,not_applicable,biography_memoir,medium
90,The talk : tu seras toujours un danger à leurs yeux /,comics,not_applicable,current_affairs_politics,high
91,Kaiju N°8 /,comics,not_applicable,not_applicable,high
92,Le sablier /,comics,not_applicable,not_applicable,high
93,Hirayasumi /,comics,not_applicable,not_applicable,medium
94,Que faire de l'intelligence artificielle? : petite histoire critique de la raison artificielle /,non_fiction_general,not_applicable,science_technology,high
95,Akane banashi /,comics,not_applicable,not_applicable,high
96,Des maux à dire /,comics,not_applicable,biography_memoir,high
97,Il y a longtemps que je t'aime /,comics,not_applicable,not_applicable,medium
98,Regarde les lumières mon amour /,non_fiction_general,not_applicable,biography_memoir,medium
99,Peau /,comics,not_applicable,not_applicable,high
100,Fruits basket : une corbeille de fruits /,comics,not_applicable,not_applicable,high
101,Orange /,comics,not_applicable,not_applicable,high
102,"Manifeste cyborg et autres essais : sciences, fictions, féminismes /",academic,anthropology_ethnology,not_applicable,high
103,Bride stories /,comics,not_applicable,travel,high
104,La littérature : une infographie /,popular_science,literature_studies,not_applicable,high
105,Avec toi /,comics,not_applicable,not_applicable,medium
