u,i,t
4456,8581,1687541086.0
142,1964,1679585406.0
362,3705,1706871659.0
1809,11317,1673533162.0
4384,1323,1681402162.0
2369,1,1695303992.0
259,3263,1680104307.0
6239,1166,1680262624.0
2744,12933,1719324867.0
6597,14891,1702570375.0
6239,2815,1695387473.0
4648,10591,1696852596.0
1488,7708,1678450462.0
1849,7929,1688398762.0
2620,9672,1718987979.0
7178,5846,1699544308.0
3148,8195,1688053023.0
362,4206,1685100476.0
5418,4910,1686765756.0
7449,2873,1708187846.0
1517,8719,1719766092.0
2161,11094,1710780135.0
1277,4111,1702577859.0
3764,13990,1711535429.0
3880,7118,1709222751.0
740,2697,1674577976.0
3654,6352,1686582878.0
5030,7229,1682689322.0
1300,3055,1681830192.0
1063,778,1709911766.0
904,8022,1693239539.0
879,7042,1697551163.0
7407,1287,1696263955.0
3724,4515,1696325011.0
3201,13495,1687001283.0
3038,13295,1689859638.0
3166,2457,1678122461.0
4734,739,1678969170.0
3474,10336,1707400689.0
3754,13983,1686733771.0
184,2454,1673277425.0
38,677,1675683518.0
451,5018,1709030350.0
1673,8962,1720103781.0
3245,8904,1684337018.0
3431,8848,1715954462.0
2832,10489,1700585918.0
530,5630,1683971508.0
1786,6036,1677168188.0
1711,5740,1699346110.0
732,7120,1713613905.0
7050,10294,1713349719.0
2043,11826,1680705333.0
1353,8713,1694617667.0
7818,14555,1726739089.0
822,4167,1705329342.0
831,7657,1683819620.0
3025,9823,1680521459.0
3619,5365,1674751222.0
200,2641,1688819303.0
5962,6969,1696583306.0
6472,4605,1673259125.0
256,3019,1693853022.0
3264,2270,1708592499.0
2215,8993,1712164710.0
361,1213,1704898482.0
1205,5604,1683718154.0
2720,7706,1713887611.0
6861,13635,1693840831.0
3703,10468,1713263586.0
4177,10820,1717521780.0
7082,8376,1688385180.0
1294,9563,1694622773.0
694,6845,1686324082.0
1539,373,1676454937.0
885,1048,1713788361.0
841,7692,1706352126.0
6596,9390,1698676624.0
766,2078,1708103613.0
6492,13184,1709651237.0
490,626,1696428583.0
1596,10801,1707232943.0
2368,12363,1676033153.0
1649,3689,1686586205.0
6167,14555,1677236073.0
6167,13587,1678282156.0
904,8037,1711456855.0
7790,7115,1725035049.0
3504,239,1684758814.0
1239,9672,1688654576.0
201,2657,1708692928.0
24,538,1699547498.0
236,3032,1709287393.0
1032,8667,1689608490.0
5264,783,1712246659.0
4527,9129,1712594781.0
3224,13538,1676481773.0
4217,10731,1711372392.0
2967,5694,1676452103.0
4938,405,1677676730.0
3862,3525,1707483607.0
4127,11252,1716304618.0
3431,1711,1720018440.0
6961,4688,1677079183.0
919,6183,1674733631.0
5499,76,1676046012.0
1072,5804,1683644724.0
7649,1406,1718895815.0
4840,11807,1678464130.0
6405,8761,1710175424.0
1206,9543,1700058719.0
441,234,1672842339.0
6915,9117,1674650974.0
2611,1357,1697448193.0
2919,739,1707151495.0
2453,5296,1692790781.0
7168,11061,1706287176.0
7066,6231,1685971496.0
1849,3556,1686928856.0
1193,9500,1706868806.0
2136,433,1686057101.0
5525,11366,1700207939.0
251,3128,1720004654.0
5287,2742,1673528153.0
732,7111,1693995892.0
6901,15225,1674652567.0
4332,6605,1677080152.0
3099,3122,1707497085.0
2178,8236,1688551702.0
3814,3403,1700063617.0
7790,110,1724429743.0
2128,10437,1706614630.0
6715,14550,1678285710.0
4022,110,1676997658.0
1247,491,1712578031.0
3667,5193,1701101367.0
7680,4639,1716388181.0
1121,9086,1689591939.0
5251,11941,1696514608.0
2572,3518,1695814580.0
479,10,1674653139.0
2622,4863,1695396015.0
41,771,1695469455.0
2231,1705,1699031272.0
2859,11347,1674818867.0
3116,7934,1697021904.0
888,7935,1686917525.0
1648,10227,1673446494.0
5844,10522,1686918079.0
6206,13248,1728402540.0
6869,100,1674907139.0
500,5428,1674741124.0
6511,3055,1676036687.0
6465,14847,1678719891.0
4524,3883,1699970018.0
770,7304,1682087421.0
7035,46,1709747464.0
6960,13669,1724160927.0
1563,1041,1716276858.0
7823,53,1726938449.0
2574,12183,1684155686.0
3955,6165,1697724089.0
