Title,Author,ISBN Valid,Publisher,Subjects,i
Classification décimale universelle : édition abrégée /,,9782871303336; 2871303339,Ed du CEFAL,Classification décimale universelle; Indexation (documentation); classification décimale universelle--[tables]; Book Classification; Reference Books; Outline,0
Les interactions dans l'enseignement des langues : agir professoral et pratiques de classe /,"Cicurel, Francine, 1947-",9782278058327; 2278058320,Didier,didactique--langue étrangère - enseignement; didactique--langue - enseignement,1
Histoire de vie et recherche biographique : perspectives sociohistoriques /,,2343190194; 9782343190198,L'Harmattan,Histoires de vie en sociologie; Sciences sociales--Méthodologie; Actes de congrès,2
"Ce livre devrait me permettre de résoudre le conflit au Proche-Orient, d'avoir mon diplôme, et de trouver une femme /","Mazas, Sylvain, 1980-",9782365350020; 236535002X; 9782365350488; 2365350488,Vraoum!,Moyen-Orient; Bandes dessinées autobiographiques; Bandes dessinées,3
Les années glorieuses : roman /,"Lemaitre, Pierre, 1951-",9782702180815; 2702180817; 9782702183618; 2702183611,Calmann-Lévy,France--1945-1975; Roman historique; Roman français; Littérature française,4
100 idées pour mieux gérer les troubles de l'attention /,"Lussier, Francine",9782353450428; 2353450423,Tom Pousse,Trouble déficitaire de l'attention avec ou sans hyperactivité; Enfants atteints de troubles de l'attention; Enfants hyperactifs; Guides pratiques,5
La boîte à outils des formateurs : 71 outils clés en main + 10 compléments en ligne + 1 podcast /,"Bouchut, Fabienne",9782100806614; 2100806610; 9782100846023; 2100846027,Dunod,Formateurs (éducation des adultes)--Formation.; Personnel--Formation.; Animateurs de formation.; Guides pratiques.,6
L'autorité éducative dans la classe : douze situations pour apprendre à l'exercer /,"Robbes, Bruno",9782710121152; 2710121158,ESF éd,autorité--relation maître-élève; autorité--enseignement primaire,7
Un autre regard sur le climat /,Emma dessinatrice 1981-....,9791097160821,Massot,Climat--Détérioration; Bandes dessinées,8
Le mirage de la croissance verte /,"Auffret, Anthony",9782413043591; 2413043594,Delcourt,Développement économique--Aspect environnemental; Développement durable--Aspect environnemental; Bandes dessinées,9
Vieille fille : une proposition /,"Kock, Marie",9782348072765; 2348072769,La Découverte,Célibataires; Femmes; Jeunes femmes; Sociologie; Sexualité; [Récits personnels],10
Rendre les élèves acteurs de leurs apprentissages /,"Béal, Yves",9782206013725; 220601372X,Delagrave,apprentissage (psychologie)--enfant; apprentissage (psychologie)--didactique--élève--enseignement,11
L'apprentissage par projets au secondaire : guide pratique pour planifier et réaliser des projets avec ses élèves /,"Larmer, John",9782765033202; 276503320X,Chenelière éducation,apprentissage (psychologie)--enseignement secondaire--pédagogie du projet; Enseignement - Méthode des projets; Enseignement secondaire; Méthodes actives; Enseignement en équipe; Enseignement - Travail de groupe,12
Pour une pédagogie du projet /,"Bordalo, Isabelle",9782011709219; 2011709210,Hachette éducation,Enseignement--Méthode des projets,13
